company_id,type,rule_id,text,confidence_pct
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ABB,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ABB,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ABB,pro,P8,Consistent dividend payout backed by positive free cash flow,65
ABB,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ABB,con,FALLBACK,Debt-to-equity of 0.02 in the latest year is the most notable available watch-point for this company,61
ADANIENSOL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENSOL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIENSOL,con,C1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,85
ADANIENSOL,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
ADANIENSOL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ADANIENT,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ADANIENT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
ADANIGREEN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIGREEN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,85
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,70
ADANIPORTS,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
